Verein,Name,Einsätze,Einwechslungen,Auswechslungen,Spielminuten,Tore,Torschüsse,Torvorlagen,Torschussvorlagen,Elfmeter verwandelt,Elfmeter verschossen,Laufleistung,Ballkontakte,Zweikampfquote,gespielte Pässe,angekommene Pässe,Fehlpässe,Passquote,Fouls,Gefoult worden,Abseits,Gelbe Karten,Gelb-rote Karten,Rote Karten,Note
SV Darmstadt 98,Sandro Sirigu,30,13,5,1813,2,19,2,14,0,0,213.58,942,52,471,333,138,71,32,23,5,0,1,4,3.90
SV Darmstadt 98,Wilson Kamavuaka,8,2,5,502,0,2,1,2,0,0,62.48,228,46,161,109,52,68,8,6,0,0,0,2,3.93
SV Darmstadt 98,Fabian Holland,26,1,4,2255,0,2,0,11,0,0,260.75,1264,64,741,494,247,67,33,33,0,0,0,2,4.08
SV Darmstadt 98,Immanuel Höhn,12,0,1,1068,0,2,0,4,0,0,116.98,515,47,324,235,89,73,12,6,1,0,0,3,4.08
SV Darmstadt 98,Änis Ben-Hatira,11,3,6,586,1,10,0,5,0,0,72.74,275,30,142,84,58,59,11,13,7,0,0,3,4.11
SV Darmstadt 98,Alexander Milosevic,18,0,1,1597,0,10,0,2,0,0,171.07,728,57,517,389,128,75,16,5,1,0,0,4,4.11
SV Darmstadt 98,Leon Guwara,17,6,0,1102,0,2,0,10,0,0,127.39,600,49,311,216,95,69,13,13,0,0,1,1,4.21
SV Darmstadt 98,Artem Fedetskyy,16,3,5,1110,0,4,0,4,0,0,133.88,560,58,292,191,101,65,20,8,0,0,0,4,4.29
SV Darmstadt 98,Jan Rosenthal,19,9,8,840,0,16,0,8,0,0,108.24,433,40,288,188,100,65,17,11,2,0,0,3,4.29
SV Darmstadt 98,Sven Schipplock,23,11,9,1108,2,16,0,10,0,0,133.11,415,47,261,142,119,54,36,18,7,0,0,3,4.38
SV Darmstadt 98,Terrence Boyd,7,2,5,375,1,5,0,3,0,0,47.76,165,32,112,74,38,66,14,2,1,0,0,1,4.50
SV Darmstadt 98,Roman Bezjak,11,4,5,588,0,9,0,6,0,0,74.74,211,45,127,66,61,52,17,9,3,0,0,0,4.56
